name,source,gender,wikidata,type
Æbeløgade,wikidata,-,Q271355,way
Æblehaven,wikidata,-,Q104819,way
Æblestien,wikidata,-,Q89,way
Æblevej,wikidata,-,Q89,way
Æginavej,wikidata,-,Q191082,way
Ægirsgade,wikidata,-,Q204927,way
Ærtevej,wikidata,-,Q144795,way
Ætnavej,wikidata,-,Q2292319,way
Åbakkevej,wikidata,-,Q3529419;Q54050,way
"Abel Cathrines Gade",wikidata,-,Q12300381,way
Åbenrå,wikidata,-,Q16556730,way
Åboulevard,wikidata,-,Q12323556,way
Abrikosvej,wikidata,-,Q3733836,way
Åbuen,wikidata,-,Q12323556,way
Ådalsvej,wikidata,-,Q39816;Q3529419,way
Adelgade,wikidata,-,Q4993744,way
Admiralgade,wikidata,-,Q30621837,way
Adriansvej,wikidata,-,Q372250,way
Ågade,wikidata,-,Q12323556,way
Ågerupvej,wikidata,-,Q2177880,way
Aggersvoldvej,wikidata,-,Q12300721,way
Aggervej,wikidata,-,Q393175,way
Agnetevej,wikidata,-,Q12300738,way
Ahornsgade,wikidata,-,Q156944,way
Åkandevej,wikidata,-,Q147685,way
Ålandsgade,wikidata,-,Q5689,way
Albaniensgade,wikidata,-,Q222,way
Ålborggade,wikidata,-,Q25410,way
Aldersrogade,wikidata,-,Q12300926,way
Ålekistevej,wikidata,-,Q10726472,way
Alexandriagade,wikidata,-,Q87,way
"Ålholm Plads",wikidata,-,Q4661399,way
Ålholmvej,wikidata,-,Q4661399,way
Alperosevej,wikidata,-,Q1341190,way
Alsgade,wikidata,-,Q165383,way
Alstedvej,wikidata,-,Q123047216,way
Ålstrupvej,wikidata,-,Q12300309,way
"Amager Boulevard",wikidata,-,Q210396,way
"Amager Landevej",wikidata,-,Q210396,way
"Amagerbro Torv",wikidata,-,Q3375590,way
Amagerbrogade,wikidata,-,Q3375590,way
Amagerfælledvej,wikidata,-,Q11957648,way
Amagergade,wikidata,-,Q3432244,way
Amagermotorvejen,wikidata,-,Q210396,way
Amagertorv,wikidata,-,Q24041706,way
Amaliegade,wikidata,-,Q4581904,way
"Amalienborg Slotsplads",wikidata,-,Q211053,way
"Amerika Plads",wikidata,-,Q828,way
Amerikakaj,wikidata,-,Q828,way
Amerikavej,wikidata,-,Q130351033,way
Amsterdamvej,wikidata,-,Q727,way
Angelgade,wikidata,-,Q506043,way
Annebergvej,wikidata,-,Q12301867,way
Annekegade,wikidata,-,Q566045,way
Antonigade,wikidata,-,Q132578131,way
Antwerpengade,wikidata,-,Q31467408,way
Apollovej,wikidata,-,Q37340,way
Arabiensvej,wikidata,-,Q57751375,way
Arendalsgade,wikidata,-,Q2699921,way
"Århus Plads",wikidata,-,Q25319,way
Århusgade,wikidata,-,Q25319,way
Arildsgård,wikidata,-,Q130319655,way
Arkonagade,wikidata,-,Q460230,way
Armeniensvej,wikidata,-,Q399,way
Arresøgade,wikidata,-,Q699572,way
Arsenalvej,wikidata,-,Q15518219,way
Askøgade,wikidata,-,Q732364,way
Asminderødgade,wikidata,-,Q21421224,way
Asnæsgade,wikidata,-,Q12302335,way
